@relation handgrasp_object_detection

@attribute T_y real
@attribute T_p real
@attribute T_r real
@attribute I_y real
@attribute I_p real
@attribute I_r real
@attribute M_y real
@attribute M_p real
@attribute M_r real
@attribute R_y real
@attribute R_p real
@attribute R_r real
@attribute P_y real
@attribute P_p real
@attribute P_r real
@attribute B_y real
@attribute B_p real
@attribute B_r real
@attribute Class {bottle_hold,pen_hold,cup_carry,phone_answer,unleash_pen,screw_driver}

@data
244.89, 75.13, -15.61, 232.58, 67.04, -3.29, 203.68, -27.47, 5.65, 250.05, 58.47, 3.63,236.55, 78.81, -48.21,247.60, 63.65, -64.26,bottle_hold
244.78, 75.15, -15.67, 232.47, 67.01, -3.31, 203.64, -27.46, 5.65, 249.97, 58.52, 3.56,236.58, 78.80, -48.16,247.59, 63.66, -64.26,bottle_hold
244.62, 75.19, -15.76, 232.52, 67.01, -3.12, 203.60, -27.47, 5.63, 249.95, 58.49, 3.60,236.56, 78.80, -48.17,247.59, 63.65, -64.25,bottle_hold
244.57, 75.21, -15.75, 232.30, 67.00, -3.26, 203.56, -27.49, 5.61, 249.88, 58.54, 3.51,236.32, 78.82, -48.40,247.60, 63.65, -64.23,bottle_hold
244.50, 75.22, -15.75, 232.16, 67.01, -3.26, 203.53, -27.50, 5.61, 249.79, 58.53, 3.48,236.23, 78.84, -48.45,247.57, 63.64, -64.25,bottle_hold
244.46, 75.23, -15.71, 232.03, 67.02, -3.26, 203.50, -27.54, 5.59, 249.74, 58.52, 3.43,236.09, 78.85, -48.56,247.55, 63.66, -64.27,bottle_hold
244.42, 75.24, -15.69, 231.97, 67.06, -3.23, 203.48, -27.56, 5.58, 249.71, 58.47, 3.43,235.92, 78.85, -48.71,247.54, 63.66, -64.27,bottle_hold
244.22, 75.26, -15.84, 231.89, 67.09, -3.16, 203.46, -27.60, 5.57, 249.70, 58.42, 3.50,235.90, 78.86, -48.67,247.54, 63.65, -64.26,bottle_hold
244.20, 75.24, -15.79, 231.92, 67.12, -2.97, 203.44, -27.66, 5.54, 249.67, 58.44, 3.52,235.88, 78.86, -48.67,247.52, 63.68, -64.28,bottle_hold
244.14, 75.27, -15.82, 231.71, 67.15, -3.12, 203.42, -27.64, 5.55, 249.64, 58.42, 3.55,235.79, 78.87, -48.75,247.50, 63.69, -64.30,bottle_hold
244.15, 75.26, -15.75, 231.51, 67.17, -3.18, 203.42, -27.67, 5.52, 249.61, 58.42, 3.56,235.71, 78.86, -48.75,247.46, 63.69, -64.33,bottle_hold
244.22, 75.22, -15.58, 231.34, 67.18, -3.27, 203.40, -27.73, 5.49, 249.65, 58.36, 3.68,235.62, 78.87, -48.82,247.42, 63.70, -64.35,bottle_hold
244.16, 75.23, -15.59, 231.27, 67.22, -3.25, 203.37, -27.76, 5.47, 249.60, 58.37, 3.66,235.58, 78.87, -48.87,247.39, 63.73, -64.39,bottle_hold
244.12, 75.25, -15.58, 231.01, 67.24, -3.43, 203.37, -27.76, 5.46, 249.54, 58.40, 3.60,235.42, 78.88, -49.00,247.37, 63.73, -64.42,bottle_hold
243.95, 75.26, -15.70, 230.76, 67.28, -3.60, 203.38, -27.75, 5.44, 249.51, 58.36, 3.60,235.18, 78.89, -49.21,247.37, 63.74, -64.42,bottle_hold
243.78, 75.28, -15.85, 230.58, 67.31, -3.71, 203.37, -27.72, 5.42, 249.45, 58.40, 3.52,234.95, 78.92, -49.51,247.34, 63.77, -64.44,bottle_hold
243.61, 75.31, -15.99, 230.27, 67.33, -3.96, 203.32, -27.68, 5.42, 249.39, 58.43, 3.50,234.71, 78.94, -49.75,247.31, 63.79, -64.46,bottle_hold
243.42, 75.31, -16.14, 230.25, 67.35, -3.87, 203.31, -27.68, 5.40, 249.36, 58.40, 3.53,234.53, 78.96, -49.91,247.30, 63.79, -64.48,bottle_hold
243.38, 75.31, -16.11, 230.24, 67.34, -3.76, 203.29, -27.68, 5.37, 249.34, 58.40, 3.54,234.58, 78.96, -49.85,247.31, 63.80, -64.48,bottle_hold
243.45, 75.32, -15.97, 230.05, 67.36, -3.87, 203.27, -27.70, 5.33, 249.36, 58.37, 3.64,234.43, 78.99, -50.02,247.34, 63.80, -64.43,bottle_hold
243.53, 75.32, -15.81, 229.81, 67.37, -4.02, 203.23, -27.73, 5.33, 249.29, 58.37, 3.62,234.47, 78.99, -49.95,247.31, 63.81, -64.45,bottle_hold
243.52, 75.33, -15.75, 229.63, 67.38, -4.14, 203.20, -27.75, 5.32, 249.31, 58.33, 3.71,234.49, 78.98, -49.92,247.31, 63.81, -64.45,bottle_hold
243.50, 75.33, -15.71, 229.50, 67.41, -4.17, 203.19, -27.78, 5.28, 249.24, 58.40, 3.64,234.56, 78.98, -49.82,247.31, 63.80, -64.45,bottle_hold
243.56, 75.34, -15.56, 229.43, 67.41, -4.14, 203.18, -27.79, 5.24, 249.26, 58.36, 3.75,234.76, 78.94, -49.57,247.33, 63.78, -64.41,bottle_hold
243.44, 75.35, -15.62, 229.27, 67.39, -4.22, 203.15, -27.82, 5.23, 249.21, 58.38, 3.75,234.88, 78.93, -49.42,247.34, 63.79, -64.38,bottle_hold
243.39, 75.37, -15.62, 229.16, 67.40, -4.22, 203.11, -27.87, 5.20, 249.20, 58.37, 3.80,234.97, 78.94, -49.30,247.33, 63.79, -64.39,bottle_hold
243.41, 75.36, -15.54, 229.05, 67.48, -4.22, 203.09, -27.89, 5.16, 249.18, 58.35, 3.83,235.04, 78.92, -49.23,247.32, 63.80, -64.39,bottle_hold
243.36, 75.33, -15.57, 228.95, 67.54, -4.21, 203.07, -27.88, 5.14, 249.13, 58.39, 3.82,235.08, 78.92, -49.19,247.28, 63.81, -64.41,bottle_hold
243.42, 75.29, -15.46, 228.72, 67.58, -4.39, 203.05, -27.90, 5.11, 249.08, 58.41, 3.82,234.95, 78.91, -49.28,247.28, 63.80, -64.40,bottle_hold
243.36, 75.27, -15.47, 228.63, 67.60, -4.37, 203.07, -27.93, 5.07, 248.98, 58.47, 3.70,234.82, 78.92, -49.40,247.30, 63.79, -64.38,bottle_hold
243.28, 75.26, -15.51, 228.55, 67.65, -4.34, 203.04, -27.94, 5.04, 249.00, 58.40, 3.81,234.74, 78.94, -49.45,247.34, 63.78, -64.33,bottle_hold
243.25, 75.26, -15.49, 228.38, 67.67, -4.40, 203.01, -27.98, 4.99, 248.95, 58.39, 3.80,234.65, 78.94, -49.52,247.32, 63.78, -64.34,bottle_hold
243.28, 75.25, -15.40, 228.22, 67.68, -4.46, 202.99, -28.03, 4.94, 248.90, 58.38, 3.81,234.55, 78.98, -49.57,247.32, 63.76, -64.34,bottle_hold
